run,case,relpath,file_name,basic_file,expected_run_file
benchmark,damBreakWithObstacle,0/k,k,C:\Users\Peijing Xu\projects\yue_research\error_analysis\Basic\damBreakWithObstacle\1\GT_files\0\k,C:\Users\Peijing Xu\projects\yue_research\error_analysis\qwen-benchmark_runs\damBreakWithObstacle\1\0\k
standard,damBreakWithObstacle,0/k,k,C:\Users\Peijing Xu\projects\yue_research\error_analysis\Basic\damBreakWithObstacle\1\GT_files\0\k,C:\Users\Peijing Xu\projects\yue_research\error_analysis\qwen-standard_runs\damBreakWithObstacle\1\0\k
benchmark,damBreakWithObstacle,0/nut,nut,C:\Users\Peijing Xu\projects\yue_research\error_analysis\Basic\damBreakWithObstacle\1\GT_files\0\nut,C:\Users\Peijing Xu\projects\yue_research\error_analysis\qwen-benchmark_runs\damBreakWithObstacle\1\0\nut
standard,damBreakWithObstacle,0/nut,nut,C:\Users\Peijing Xu\projects\yue_research\error_analysis\Basic\damBreakWithObstacle\1\GT_files\0\nut,C:\Users\Peijing Xu\projects\yue_research\error_analysis\qwen-standard_runs\damBreakWithObstacle\1\0\nut
benchmark,damBreakWithObstacle,0/omega,omega,C:\Users\Peijing Xu\projects\yue_research\error_analysis\Basic\damBreakWithObstacle\1\GT_files\0\omega,C:\Users\Peijing Xu\projects\yue_research\error_analysis\qwen-benchmark_runs\damBreakWithObstacle\1\0\omega
standard,damBreakWithObstacle,0/omega,omega,C:\Users\Peijing Xu\projects\yue_research\error_analysis\Basic\damBreakWithObstacle\1\GT_files\0\omega,C:\Users\Peijing Xu\projects\yue_research\error_analysis\qwen-standard_runs\damBreakWithObstacle\1\0\omega
benchmark,damBreakWithObstacle,0/p_rgh,p_rgh,C:\Users\Peijing Xu\projects\yue_research\error_analysis\Basic\damBreakWithObstacle\1\GT_files\0\p_rgh,C:\Users\Peijing Xu\projects\yue_research\error_analysis\qwen-benchmark_runs\damBreakWithObstacle\1\0\p_rgh
standard,damBreakWithObstacle,0/p_rgh,p_rgh,C:\Users\Peijing Xu\projects\yue_research\error_analysis\Basic\damBreakWithObstacle\1\GT_files\0\p_rgh,C:\Users\Peijing Xu\projects\yue_research\error_analysis\qwen-standard_runs\damBreakWithObstacle\1\0\p_rgh
benchmark,damBreakWithObstacle,0/U,U,C:\Users\Peijing Xu\projects\yue_research\error_analysis\Basic\damBreakWithObstacle\1\GT_files\0\U,C:\Users\Peijing Xu\projects\yue_research\error_analysis\qwen-benchmark_runs\damBreakWithObstacle\1\0\U
standard,damBreakWithObstacle,0/U,U,C:\Users\Peijing Xu\projects\yue_research\error_analysis\Basic\damBreakWithObstacle\1\GT_files\0\U,C:\Users\Peijing Xu\projects\yue_research\error_analysis\qwen-standard_runs\damBreakWithObstacle\1\0\U
benchmark,damBreakWithObstacle,0/U.orig,U.orig,C:\Users\Peijing Xu\projects\yue_research\error_analysis\Basic\damBreakWithObstacle\1\GT_files\0\U.orig,C:\Users\Peijing Xu\projects\yue_research\error_analysis\qwen-benchmark_runs\damBreakWithObstacle\1\0\U.orig
standard,damBreakWithObstacle,0/U.orig,U.orig,C:\Users\Peijing Xu\projects\yue_research\error_analysis\Basic\damBreakWithObstacle\1\GT_files\0\U.orig,C:\Users\Peijing Xu\projects\yue_research\error_analysis\qwen-standard_runs\damBreakWithObstacle\1\0\U.orig
benchmark,damBreakWithObstacle,constant/dynamicMeshDict,dynamicMeshDict,C:\Users\Peijing Xu\projects\yue_research\error_analysis\Basic\damBreakWithObstacle\1\GT_files\constant\dynamicMeshDict,C:\Users\Peijing Xu\projects\yue_research\error_analysis\qwen-benchmark_runs\damBreakWithObstacle\1\constant\dynamicMeshDict
standard,damBreakWithObstacle,constant/dynamicMeshDict,dynamicMeshDict,C:\Users\Peijing Xu\projects\yue_research\error_analysis\Basic\damBreakWithObstacle\1\GT_files\constant\dynamicMeshDict,C:\Users\Peijing Xu\projects\yue_research\error_analysis\qwen-standard_runs\damBreakWithObstacle\1\constant\dynamicMeshDict
benchmark,damBreakWithObstacle,constant/g,g,C:\Users\Peijing Xu\projects\yue_research\error_analysis\Basic\damBreakWithObstacle\1\GT_files\constant\g,C:\Users\Peijing Xu\projects\yue_research\error_analysis\qwen-benchmark_runs\damBreakWithObstacle\1\constant\g
standard,damBreakWithObstacle,constant/g,g,C:\Users\Peijing Xu\projects\yue_research\error_analysis\Basic\damBreakWithObstacle\1\GT_files\constant\g,C:\Users\Peijing Xu\projects\yue_research\error_analysis\qwen-standard_runs\damBreakWithObstacle\1\constant\g
benchmark,damBreakWithObstacle,constant/momentumTransport,momentumTransport,C:\Users\Peijing Xu\projects\yue_research\error_analysis\Basic\damBreakWithObstacle\1\GT_files\constant\momentumTransport,C:\Users\Peijing Xu\projects\yue_research\error_analysis\qwen-benchmark_runs\damBreakWithObstacle\1\constant\momentumTransport
standard,damBreakWithObstacle,constant/momentumTransport,momentumTransport,C:\Users\Peijing Xu\projects\yue_research\error_analysis\Basic\damBreakWithObstacle\1\GT_files\constant\momentumTransport,C:\Users\Peijing Xu\projects\yue_research\error_analysis\qwen-standard_runs\damBreakWithObstacle\1\constant\momentumTransport
benchmark,damBreakWithObstacle,constant/phaseProperties,phaseProperties,C:\Users\Peijing Xu\projects\yue_research\error_analysis\Basic\damBreakWithObstacle\1\GT_files\constant\phaseProperties,C:\Users\Peijing Xu\projects\yue_research\error_analysis\qwen-benchmark_runs\damBreakWithObstacle\1\constant\phaseProperties
standard,damBreakWithObstacle,constant/phaseProperties,phaseProperties,C:\Users\Peijing Xu\projects\yue_research\error_analysis\Basic\damBreakWithObstacle\1\GT_files\constant\phaseProperties,C:\Users\Peijing Xu\projects\yue_research\error_analysis\qwen-standard_runs\damBreakWithObstacle\1\constant\phaseProperties
benchmark,damBreakWithObstacle,constant/physicalProperties.air,physicalProperties.air,C:\Users\Peijing Xu\projects\yue_research\error_analysis\Basic\damBreakWithObstacle\1\GT_files\constant\physicalProperties.air,C:\Users\Peijing Xu\projects\yue_research\error_analysis\qwen-benchmark_runs\damBreakWithObstacle\1\constant\physicalProperties.air
standard,damBreakWithObstacle,constant/physicalProperties.air,physicalProperties.air,C:\Users\Peijing Xu\projects\yue_research\error_analysis\Basic\damBreakWithObstacle\1\GT_files\constant\physicalProperties.air,C:\Users\Peijing Xu\projects\yue_research\error_analysis\qwen-standard_runs\damBreakWithObstacle\1\constant\physicalProperties.air
benchmark,damBreakWithObstacle,constant/physicalProperties.water,physicalProperties.water,C:\Users\Peijing Xu\projects\yue_research\error_analysis\Basic\damBreakWithObstacle\1\GT_files\constant\physicalProperties.water,C:\Users\Peijing Xu\projects\yue_research\error_analysis\qwen-benchmark_runs\damBreakWithObstacle\1\constant\physicalProperties.water
standard,damBreakWithObstacle,constant/physicalProperties.water,physicalProperties.water,C:\Users\Peijing Xu\projects\yue_research\error_analysis\Basic\damBreakWithObstacle\1\GT_files\constant\physicalProperties.water,C:\Users\Peijing Xu\projects\yue_research\error_analysis\qwen-standard_runs\damBreakWithObstacle\1\constant\physicalProperties.water
benchmark,damBreakWithObstacle,system/blockMeshDict,blockMeshDict,C:\Users\Peijing Xu\projects\yue_research\error_analysis\Basic\damBreakWithObstacle\1\GT_files\system\blockMeshDict,C:\Users\Peijing Xu\projects\yue_research\error_analysis\qwen-benchmark_runs\damBreakWithObstacle\1\system\blockMeshDict
benchmark,damBreakWithObstacle,system/decomposeParDict,decomposeParDict,C:\Users\Peijing Xu\projects\yue_research\error_analysis\Basic\damBreakWithObstacle\1\GT_files\system\decomposeParDict,C:\Users\Peijing Xu\projects\yue_research\error_analysis\qwen-benchmark_runs\damBreakWithObstacle\1\system\decomposeParDict
standard,damBreakWithObstacle,system/decomposeParDict,decomposeParDict,C:\Users\Peijing Xu\projects\yue_research\error_analysis\Basic\damBreakWithObstacle\1\GT_files\system\decomposeParDict,C:\Users\Peijing Xu\projects\yue_research\error_analysis\qwen-standard_runs\damBreakWithObstacle\1\system\decomposeParDict
benchmark,damBreakWithObstacle,system/setFieldsDict,setFieldsDict,C:\Users\Peijing Xu\projects\yue_research\error_analysis\Basic\damBreakWithObstacle\1\GT_files\system\setFieldsDict,C:\Users\Peijing Xu\projects\yue_research\error_analysis\qwen-benchmark_runs\damBreakWithObstacle\1\system\setFieldsDict
standard,damBreakWithObstacle,system/setFieldsDict,setFieldsDict,C:\Users\Peijing Xu\projects\yue_research\error_analysis\Basic\damBreakWithObstacle\1\GT_files\system\setFieldsDict,C:\Users\Peijing Xu\projects\yue_research\error_analysis\qwen-standard_runs\damBreakWithObstacle\1\system\setFieldsDict
benchmark,damBreakWithObstacle,system/topoSetDict,topoSetDict,C:\Users\Peijing Xu\projects\yue_research\error_analysis\Basic\damBreakWithObstacle\1\GT_files\system\topoSetDict,C:\Users\Peijing Xu\projects\yue_research\error_analysis\qwen-benchmark_runs\damBreakWithObstacle\1\system\topoSetDict
standard,damBreakWithObstacle,system/topoSetDict,topoSetDict,C:\Users\Peijing Xu\projects\yue_research\error_analysis\Basic\damBreakWithObstacle\1\GT_files\system\topoSetDict,C:\Users\Peijing Xu\projects\yue_research\error_analysis\qwen-standard_runs\damBreakWithObstacle\1\system\topoSetDict
standard,shallowWaterWithSquareBump,0/h,h,C:\Users\Peijing Xu\projects\yue_research\error_analysis\Basic\shallowWaterWithSquareBump\1\GT_files\0\h,C:\Users\Peijing Xu\projects\yue_research\error_analysis\qwen-standard_runs\shallowWaterWithSquareBump\1\0\h
benchmark,shallowWaterWithSquareBump,0/h.orig,h.orig,C:\Users\Peijing Xu\projects\yue_research\error_analysis\Basic\shallowWaterWithSquareBump\1\GT_files\0\h.orig,C:\Users\Peijing Xu\projects\yue_research\error_analysis\qwen-benchmark_runs\shallowWaterWithSquareBump\1\0\h.orig
standard,shallowWaterWithSquareBump,0/h.orig,h.orig,C:\Users\Peijing Xu\projects\yue_research\error_analysis\Basic\shallowWaterWithSquareBump\1\GT_files\0\h.orig,C:\Users\Peijing Xu\projects\yue_research\error_analysis\qwen-standard_runs\shallowWaterWithSquareBump\1\0\h.orig
benchmark,shallowWaterWithSquareBump,0/hTotal,hTotal,C:\Users\Peijing Xu\projects\yue_research\error_analysis\Basic\shallowWaterWithSquareBump\1\GT_files\0\hTotal,C:\Users\Peijing Xu\projects\yue_research\error_analysis\qwen-benchmark_runs\shallowWaterWithSquareBump\1\0\hTotal
standard,shallowWaterWithSquareBump,0/hTotal,hTotal,C:\Users\Peijing Xu\projects\yue_research\error_analysis\Basic\shallowWaterWithSquareBump\1\GT_files\0\hTotal,C:\Users\Peijing Xu\projects\yue_research\error_analysis\qwen-standard_runs\shallowWaterWithSquareBump\1\0\hTotal
benchmark,shallowWaterWithSquareBump,0/hU,hU,C:\Users\Peijing Xu\projects\yue_research\error_analysis\Basic\shallowWaterWithSquareBump\1\GT_files\0\hU,C:\Users\Peijing Xu\projects\yue_research\error_analysis\qwen-benchmark_runs\shallowWaterWithSquareBump\1\0\hU
standard,shallowWaterWithSquareBump,0/hU,hU,C:\Users\Peijing Xu\projects\yue_research\error_analysis\Basic\shallowWaterWithSquareBump\1\GT_files\0\hU,C:\Users\Peijing Xu\projects\yue_research\error_analysis\qwen-standard_runs\shallowWaterWithSquareBump\1\0\hU
benchmark,shallowWaterWithSquareBump,0/hU.orig,hU.orig,C:\Users\Peijing Xu\projects\yue_research\error_analysis\Basic\shallowWaterWithSquareBump\1\GT_files\0\hU.orig,C:\Users\Peijing Xu\projects\yue_research\error_analysis\qwen-benchmark_runs\shallowWaterWithSquareBump\1\0\hU.orig
standard,shallowWaterWithSquareBump,0/hU.orig,hU.orig,C:\Users\Peijing Xu\projects\yue_research\error_analysis\Basic\shallowWaterWithSquareBump\1\GT_files\0\hU.orig,C:\Users\Peijing Xu\projects\yue_research\error_analysis\qwen-standard_runs\shallowWaterWithSquareBump\1\0\hU.orig
benchmark,shallowWaterWithSquareBump,constant/h0,h0,C:\Users\Peijing Xu\projects\yue_research\error_analysis\Basic\shallowWaterWithSquareBump\1\GT_files\constant\h0,C:\Users\Peijing Xu\projects\yue_research\error_analysis\qwen-benchmark_runs\shallowWaterWithSquareBump\1\constant\h0
standard,shallowWaterWithSquareBump,constant/h0,h0,C:\Users\Peijing Xu\projects\yue_research\error_analysis\Basic\shallowWaterWithSquareBump\1\GT_files\constant\h0,C:\Users\Peijing Xu\projects\yue_research\error_analysis\qwen-standard_runs\shallowWaterWithSquareBump\1\constant\h0
benchmark,shallowWaterWithSquareBump,constant/h0.orig,h0.orig,C:\Users\Peijing Xu\projects\yue_research\error_analysis\Basic\shallowWaterWithSquareBump\1\GT_files\constant\h0.orig,C:\Users\Peijing Xu\projects\yue_research\error_analysis\qwen-benchmark_runs\shallowWaterWithSquareBump\1\constant\h0.orig
standard,shallowWaterWithSquareBump,constant/h0.orig,h0.orig,C:\Users\Peijing Xu\projects\yue_research\error_analysis\Basic\shallowWaterWithSquareBump\1\GT_files\constant\h0.orig,C:\Users\Peijing Xu\projects\yue_research\error_analysis\qwen-standard_runs\shallowWaterWithSquareBump\1\constant\h0.orig
benchmark,squareBend,0/alphat,alphat,C:\Users\Peijing Xu\projects\yue_research\error_analysis\Basic\squareBend\1\GT_files\0\alphat,C:\Users\Peijing Xu\projects\yue_research\error_analysis\qwen-benchmark_runs\squareBend\1\0\alphat
benchmark,squareBend,0/epsilon,epsilon,C:\Users\Peijing Xu\projects\yue_research\error_analysis\Basic\squareBend\1\GT_files\0\epsilon,C:\Users\Peijing Xu\projects\yue_research\error_analysis\qwen-benchmark_runs\squareBend\1\0\epsilon
benchmark,squareBend,0/k,k,C:\Users\Peijing Xu\projects\yue_research\error_analysis\Basic\squareBend\1\GT_files\0\k,C:\Users\Peijing Xu\projects\yue_research\error_analysis\qwen-benchmark_runs\squareBend\1\0\k
benchmark,squareBend,0/nut,nut,C:\Users\Peijing Xu\projects\yue_research\error_analysis\Basic\squareBend\1\GT_files\0\nut,C:\Users\Peijing Xu\projects\yue_research\error_analysis\qwen-benchmark_runs\squareBend\1\0\nut
benchmark,squareBend,0/p,p,C:\Users\Peijing Xu\projects\yue_research\error_analysis\Basic\squareBend\1\GT_files\0\p,C:\Users\Peijing Xu\projects\yue_research\error_analysis\qwen-benchmark_runs\squareBend\1\0\p
benchmark,squareBend,0/T,T,C:\Users\Peijing Xu\projects\yue_research\error_analysis\Basic\squareBend\1\GT_files\0\T,C:\Users\Peijing Xu\projects\yue_research\error_analysis\qwen-benchmark_runs\squareBend\1\0\T
benchmark,squareBend,constant/momentumTransport,momentumTransport,C:\Users\Peijing Xu\projects\yue_research\error_analysis\Basic\squareBend\1\GT_files\constant\momentumTransport,C:\Users\Peijing Xu\projects\yue_research\error_analysis\qwen-benchmark_runs\squareBend\1\constant\momentumTransport
benchmark,squareBend,constant/physicalProperties,physicalProperties,C:\Users\Peijing Xu\projects\yue_research\error_analysis\Basic\squareBend\1\GT_files\constant\physicalProperties,C:\Users\Peijing Xu\projects\yue_research\error_analysis\qwen-benchmark_runs\squareBend\1\constant\physicalProperties
benchmark,squareBend,system/decomposeParDict,decomposeParDict,C:\Users\Peijing Xu\projects\yue_research\error_analysis\Basic\squareBend\1\GT_files\system\decomposeParDict,C:\Users\Peijing Xu\projects\yue_research\error_analysis\qwen-benchmark_runs\squareBend\1\system\decomposeParDict
standard,squareBend,system/decomposeParDict,decomposeParDict,C:\Users\Peijing Xu\projects\yue_research\error_analysis\Basic\squareBend\1\GT_files\system\decomposeParDict,C:\Users\Peijing Xu\projects\yue_research\error_analysis\qwen-standard_runs\squareBend\1\system\decomposeParDict
benchmark,squareBend,system/fvConstraints,fvConstraints,C:\Users\Peijing Xu\projects\yue_research\error_analysis\Basic\squareBend\1\GT_files\system\fvConstraints,C:\Users\Peijing Xu\projects\yue_research\error_analysis\qwen-benchmark_runs\squareBend\1\system\fvConstraints
standard,squareBend,system/fvConstraints,fvConstraints,C:\Users\Peijing Xu\projects\yue_research\error_analysis\Basic\squareBend\1\GT_files\system\fvConstraints,C:\Users\Peijing Xu\projects\yue_research\error_analysis\qwen-standard_runs\squareBend\1\system\fvConstraints
